artist_name,artist_url,date,id,part,preset_id,rating,recording,song_name,status,tab_access_type,tab_url,tonality_name,tp_version,type,type_name,verified,version,version_description,votes,hits,datetime
The Animals,https://www.ultimate-guitar.com/artist/the_animals_2019,1228435201,763620,,149,4.87473,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",House Of The Rising Sun,approved,public,https://tabs.ultimate-guitar.com/tab/the_animals/house_of_the_rising_sun_chords_763620,Am,0,Chords,Chords,0,3,,4575,2086476,2008-12-04
Train,https://www.ultimate-guitar.com/artist/train_250,1256169601,884388,,17373,4.82656,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Hey Soul Sister,approved,public,https://tabs.ultimate-guitar.com/tab/train/hey_soul_sister_chords_884388,C,0,Chords,Chords,0,2,,4509,10605944,2009-10-21
A Great Big World,https://www.ultimate-guitar.com/artist/a_great_big_world_42233,1383696001,1429805,,14659,4.82376,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Say Something,approved,public,https://tabs.ultimate-guitar.com/tab/a_great_big_world/say_something_chords_1429805,Bm,0,Chords,Chords,0,2,,4415,6496341,2013-11-05
Johnny Cash,https://www.ultimate-guitar.com/artist/johnny_cash_10001,1162771201,431603,,9301,4.87502,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Hurt,approved,public,https://tabs.ultimate-guitar.com/tab/johnny_cash/hurt_chords_431603,Am,0,Chords,Chords,0,3,,4332,2444872,2006-11-05
Plain White T's,https://www.ultimate-guitar.com/artist/plain_white_ts_3257,1140998401,337676,,2224,4.86462,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Hey There Delilah,approved,public,https://tabs.ultimate-guitar.com/tab/plain_white_ts/hey_there_delilah_chords_337676,D,0,Chords,Chords,0,3,,4225,8131598,2006-02-26
Old Crow Medicine Show,https://www.ultimate-guitar.com/artist/old_crow_medicine_show_11847,1226448001,754823,,0,4.87551,"{'is_acoustic': 1, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Wagon Wheel,approved,public,https://tabs.ultimate-guitar.com/tab/old_crow_medicine_show/wagon_wheel_chords_754823,,0,Chords,Chords,0,2,,4179,4660938,2008-11-11
Creedence Clearwater Revival,https://www.ultimate-guitar.com/artist/creedence_clearwater_revival_1746,1058745600,56479,,2681,4.83194,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Have You Ever Seen The Rain,approved,public,https://tabs.ultimate-guitar.com/tab/creedence_clearwater_revival/have_you_ever_seen_the_rain_chords_56479,C,0,Chords,Chords,0,1,,4137,4949897,2003-07-20
Coldplay,https://www.ultimate-guitar.com/artist/coldplay_1782,1210550401,675427,,6201,4.8685,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Viva La Vida,approved,public,https://tabs.ultimate-guitar.com/tab/coldplay/viva_la_vida_chords_675427,D,0,Chords,Chords,0,1,These are all basic chords if you use a capo on the first fret.,3985,8416856,2008-05-11
The Lumineers,https://www.ultimate-guitar.com/artist/the_lumineers_32384,1334102401,1144876,,11325,4.81573,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Ho Hey,approved,public,https://tabs.ultimate-guitar.com/tab/the_lumineers/ho_hey_chords_1144876,C,0,Chords,Chords,0,2,,3875,6341626,2012-04-10
Johnny Cash,https://www.ultimate-guitar.com/artist/johnny_cash_10001,1063584000,89849,,9301,4.80124,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Hurt,approved,public,https://tabs.ultimate-guitar.com/tab/johnny_cash/hurt_chords_89849,Am,0,Chords,Chords,0,1,,3843,6569674,2003-09-14
twenty one pilots,https://www.ultimate-guitar.com/artist/twenty_one_pilots_36284,1330473601,1371440,,9339,4.92504,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",House Of Gold,approved,public,https://tabs.ultimate-guitar.com/tab/twenty_one_pilots/house_of_gold_ukulele_1371440,,0,Ukulele Chords,Ukulele,0,1,,3834,402986,2012-02-28
OneRepublic,https://www.ultimate-guitar.com/artist/onerepublic_15735,1364342401,1233464,,2687,4.8436,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Counting Stars,approved,public,https://tabs.ultimate-guitar.com/tab/onerepublic/counting_stars_chords_1233464,Am,0,Chords,Chords,0,1,,3754,7595101,2013-03-26
Gary Jules,https://www.ultimate-guitar.com/artist/gary_jules_10636,1071014400,97039,,15399,4.88006,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Mad World,approved,public,https://tabs.ultimate-guitar.com/tab/gary_jules/mad_world_chords_97039,Em,0,Chords,Chords,0,1,,3655,3549999,2003-12-09
Adele,https://www.ultimate-guitar.com/artist/adele_20519,1290643201,1006751,,14669,4.8272,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Someone Like You,approved,public,https://tabs.ultimate-guitar.com/tab/adele/someone_like_you_chords_1006751,G,0,Chords,Chords,0,1,,3652,4112047,2010-11-24
